STCODE,ENTITY,SITECODE,WATERYEAR,YEAR,MONTH,TYPE,Q_AREA_MO,QCODE_MO,ALK_OUT_MO,ALKCODE_MO,SSED_OUT_MO,SSEDCODE_MO,SI_OUT_MO,SICODE_MO,UTP_OUT_MO,UTPCODE_MO,TDP_OUT_MO,TDPCODE_MO,PO4P_OUT_MO,PO4PCODE_MO,PARTP_OUT_MO,PARTPCODE_MO,UTN_OUT_MO,UTNCODE_MO,TDN_OUT_MO,TDNCODE_MO,DON_OUT_MO,DONCODE_MO,PARTN_OUT_MO,PARTNCODE_MO,UTKN_OUT_MO,UTKNCODE_MO,TKN_OUT_MO,TKNCODE_MO,NH3N_OUT_MO,NH3NCODE_MO,NO3N_OUT_MO,NO3NCODE_MO,NA_OUT_MO,NACODE_MO,K_OUT_MO,KCODE_MO,CA_OUT_MO,CACODE_MO,MG_OUT_MO,MGCODE_MO,SO4S_OUT_MO,SO4SCODE_MO,CL_OUT_MO,CLCODE_MO,DOC_OUT_MO,DOCCODE_MO
CF002,4,"GSLOOK",2006,2006,3,F,12.17,A,18.72,A,129.34,A,9.52,A,0.130,A,0.025,A,0.014,A,0.105,D,0.12,A,0.04,A,0.02,D*,0.08,D,,N,,N,0.020,A,0.001,*,2.42,A,0.45,A,3.25,A,0.96,A,0.11,A,0.79,A,1.15,A
CF002,4,"GSLOOK",2006,2006,4,F,16.71,A,23.24,A,72.43,A,11.86,A,0.071,A,0.029,A,0.015,A,0.042,D,0.08,A,0.07,A,0.05,D*,0.02,D,,N,,N,0.013,A,0.001,*,3.02,A,0.60,A,4.04,A,1.42,A,0.14,A,1.08,A,1.40,A
CF002,4,"GSLOOK",2006,2006,5,F,11.61,A,16.21,A,36.68,A,7.82,A,0.053,A,0.022,A,0.010,A,0.032,D,0.13,A,0.09,A,0.04,D*,0.04,D,,N,,N,0.054,A,0.003,*,2.00,A,0.46,A,2.79,A,0.96,A,0.08,A,0.70,A,1.18,A
CF002,4,"GSLOOK",2006,2006,6,F,7.31,A,11.49,A,25.20,A,5.61,A,0.038,A,0.015,A,0.008,A,0.023,D,0.06,A,0.05,A,0.03,D*,0.02,D,,N,,N,0.021,A,0.000,*,1.47,A,0.30,A,2.06,A,0.68,A,0.06,A,0.45,A,0.77,A
CF002,4,"GSLOOK",2006,2006,7,F,2.82,E,5.35,A,2.93,A,2.43,A,0.011,A,0.007,A,0.004,A,0.003,D,0.02,A,0.02,A,0.01,D*,0.00,D,,N,,N,0.008,A,0.000,*,0.66,A,0.15,A,0.95,A,0.31,A,0.02,A,0.19,A,0.29,A
CF002,4,"GSLOOK",2006,2006,8,F,1.45,A,2.87,A,0.18,A,1.30,A,0.004,A,0.003,A,0.002,A,0.000,D,0.01,A,0.01,A,0.01,D*,0.00,D,,N,,N,0.001,A,0.000,*,0.37,A,0.08,A,0.51,A,0.19,A,0.01,A,0.11,A,0.13,A
CF002,4,"GSLOOK",2006,2006,9,F,1.17,A,2.33,A,0.14,A,1.04,A,0.004,A,0.004,A,0.002,A,0.001,D,0.01,A,0.01,A,0.01,D*,0.00,D,,N,,N,0.001,A,0.000,*,0.32,A,0.06,A,0.44,A,0.15,A,0.01,A,0.10,A,0.10,A
CF002,4,"GSLOOK",2007,2006,10,F,1.24,A,2.43,A,0.28,A,1.07,A,0.004,A,0.004,A,0.002,A,0.000,D,0.01,A,0.01,A,0.01,D*,0.00,D,,N,,N,0.002,A,0.001,*,0.33,A,0.06,A,0.46,A,0.17,A,0.01,A,0.11,A,0.11,A
CF002,4,"GSLOOK",2007,2006,11,P,30.22,A,43.11,A,32.69,A,22.35,A,0.110,A,0.078,A,0.040,A,0.032,D,0.30,A,0.24,A,0.12,D,0.06,D,,N,,N,0.022,A,0.092,A,6.43,A,1.24,A,8.33,A,3.00,A,0.27,A,2.21,A,4.14,A
CF002,4,"GSLOOK",2007,2006,12,P,39.12,A,52.78,A,83.63,A,29.00,A,0.187,A,0.111,A,0.054,A,0.076,D,0.35,A,0.23,A,0.12,D,0.11,D,,N,,N,0.054,A,0.060,A,7.77,A,1.43,A,10.08,A,3.48,A,0.35,A,2.71,A,3.65,A
CF002,4,"GSLOOK",2007,2007,1,P,20.37,A,29.32,A,7.61,A,16.15,A,0.065,A,0.049,A,0.029,A,0.015,D,0.10,A,0.09,A,0.06,D*,0.01,D,,N,,N,0.020,*,0.015,*,3.89,A,0.75,A,4.86,A,1.99,A,0.18,A,1.35,A,1.56,A
CF002,4,"GSLOOK",2007,2007,2,P,18.87,A,28.89,A,24.21,A,15.70,A,0.059,A,0.052,A,0.032,A,0.008,D,0.12,A,0.10,A,0.06,D,0.02,D,,N,,N,0.009,A,0.020,A,3.88,A,0.61,A,5.68,A,1.96,A,0.20,A,1.40,A,1.78,A
CF002,4,"GSLOOK",2007,2007,3,F,22.02,A,30.27,A,3.09,A,16.77,A,0.051,A,0.047,A,0.026,A,0.005,D,0.11,A,0.09,A,0.04,D,0.02,D,,N,,N,0.034,A,0.016,A,3.99,A,0.79,A,5.47,A,1.92,A,0.19,A,1.39,A,1.66,A
CF002,4,"GSLOOK",2007,2007,4,F,11.90,A,17.70,A,2.47,A,9.48,A,0.028,A,0.026,A,0.016,A,0.003,D,0.05,A,0.05,A,0.05,D*,0.00,D,,N,,N,0.005,*,0.002,*,2.34,A,0.45,A,3.50,A,0.92,A,0.10,A,0.94,A,1.05,A
CF002,4,"GSLOOK",2007,2007,5,P,7.09,E,11.02,A,0.92,A,5.64,A,0.015,A,0.014,A,0.008,A,0.001,D,0.03,A,0.03,A,0.03,D*,0.01,D,,N,,N,0.002,*,0.000,*,1.37,A,0.30,A,2.00,A,0.58,A,0.06,A,0.41,A,0.75,A
CF002,4,"GSLOOK",2007,2007,6,P,3.57,A,6.37,A,0.55,A,3.11,A,0.011,A,0.011,A,0.005,A,0.001,D,0.02,A,0.02,A,0.02,D*,0.00,D,,N,,N,0.001,*,0.000,*,0.78,A,0.18,A,1.18,A,0.31,A,0.03,A,0.23,A,0.31,A
CF002,4,"GSLOOK",2007,2007,7,F,2.01,A,3.98,A,0.50,A,1.88,A,0.008,A,0.006,A,0.002,A,0.002,D,0.01,A,0.01,A,0.01,D*,0.00,D,,N,,N,0.000,*,0.000,*,0.49,A,0.12,A,0.75,A,0.19,A,0.02,A,0.14,A,0.17,A
CF002,4,"GSLOOK",2007,2007,8,F,1.37,A,2.76,A,0.18,A,1.30,A,0.005,A,0.004,A,0.002,A,0.001,D,0.01,A,0.01,A,0.01,D*,0.00,D,,N,,N,0.000,*,0.000,*,0.35,A,0.08,A,0.51,A,0.13,A,0.01,A,0.10,A,0.13,A
CF002,4,"GSLOOK",2007,2007,9,F,1.19,A,2.38,A,0.09,A,1.10,A,0.004,A,0.003,A,0.002,A,0.001,D,0.01,A,0.01,A,0.01,D*,0.00,D,,N,,N,0.001,A,0.000,*,0.30,A,0.07,A,0.45,A,0.12,A,0.01,A,0.10,A,0.11,A
CF002,4,"GSLOOK",2008,2007,10,F,9.60,A,16.32,A,3.84,A,7.85,A,0.029,A,0.021,A,0.012,A,0.007,D,0.09,A,0.07,A,0.05,D*,0.03,D,,N,,N,0.010,A,0.010,*,2.04,A,0.45,A,3.19,A,0.89,A,0.08,A,0.72,A,1.20,A
CF002,4,"GSLOOK",2008,2007,11,F,19.02,A,29.35,A,4.05,A,14.74,A,0.049,A,0.040,A,0.022,A,0.008,D,0.11,A,0.10,A,0.08,D,0.01,D,,N,,N,0.016,A,0.007,A,3.92,A,0.75,A,5.83,A,1.43,A,0.15,A,1.32,A,2.11,A
CF002,4,"GSLOOK",2008,2007,12,F,27.79,A,41.52,A,6.33,A,21.95,A,0.073,A,0.060,A,0.032,A,0.014,D,0.12,A,0.11,A,0.08,D*,0.02,D,,N,,N,0.018,*,0.005,*,5.59,A,0.98,A,8.20,A,1.93,A,0.24,A,1.79,A,2.44,A
CF002,4,"GSLOOK",2008,2008,1,P,21.72,A,32.06,A,3.21,A,17.27,A,0.067,A,0.059,A,0.034,A,0.008,D,0.14,A,0.13,A,0.09,D*,0.02,D,,N,,N,0.033,*,0.004,*,4.42,A,0.81,A,6.27,A,1.59,A,0.22,A,1.52,A,1.97,A
CF002,4,"GSLOOK",2008,2008,2,P,15.40,A,22.87,A,1.54,A,12.16,A,0.043,A,0.039,A,0.023,A,0.004,D,0.05,A,0.06,A,0.06,D*,0.00,D,,N,,N,0.006,*,0.001,*,3.25,A,0.58,A,4.54,A,1.14,A,0.15,A,1.11,A,1.14,A
CF002,4,"GSLOOK",2008,2008,3,F,28.35,A,42.55,A,4.02,A,21.37,A,0.079,A,0.069,A,0.035,A,0.009,D,0.11,A,0.09,A,0.06,D*,0.02,D,,N,,N,0.023,*,0.002,*,5.75,A,1.05,A,7.99,A,2.11,A,0.28,A,1.95,A,2.09,A
CF002,4,"GSLOOK",2008,2008,4,F,19.23,A,28.83,A,1.66,A,14.15,A,0.054,A,0.044,A,0.023,A,0.009,D,0.08,A,0.08,A,0.07,D*,0.00,D,,N,,N,0.006,*,0.000,*,3.80,A,0.67,A,5.47,A,1.46,A,0.17,A,1.26,A,1.33,A
CF002,4,"GSLOOK",2008,2008,5,F,36.96,A,47.77,A,12.99,A,22.69,A,0.096,A,0.079,A,0.031,A,0.018,D,0.20,A,0.20,A,0.15,D*,0.00,D,,N,,N,0.040,*,0.031,*,6.03,A,1.15,A,8.74,A,2.70,A,0.30,A,2.18,A,2.67,A
CF002,4,"GSLOOK",2008,2008,6,P,19.44,A,25.84,A,3.00,A,11.97,A,0.054,A,0.034,A,0.013,A,0.020,D,0.08,A,0.10,A,0.08,D*,0.00,D,,N,,N,0.021,*,0.001,*,3.07,A,0.64,A,4.69,A,1.49,A,0.15,A,1.11,A,1.54,A
CF002,4,"GSLOOK",2008,2008,7,P,5.11,A,8.64,A,1.23,A,3.84,A,0.015,A,0.011,A,0.003,A,0.003,D,0.03,A,0.03,A,0.01,D*,0.00,D,,N,,N,0.017,*,0.000,*,1.03,A,0.24,A,1.58,A,0.49,A,0.04,A,0.31,A,0.46,A
CF002,4,"GSLOOK",2008,2008,8,F,2.86,A,5.84,A,0.49,A,2.47,A,0.008,A,0.007,A,0.002,A,0.001,D,0.02,A,0.01,A,0.01,D*,0.00,D,,N,,N,0.000,*,0.000,*,0.68,A,0.15,A,1.07,A,0.32,A,0.02,A,0.20,A,0.25,A
CF002,4,"GSLOOK",2008,2008,9,F,1.77,A,3.67,A,0.22,A,1.51,A,0.005,A,0.005,A,0.001,A,0.000,D,0.01,A,0.01,A,0.01,D*,0.00,D,,N,,N,0.000,*,0.000,*,0.43,A,0.09,A,0.67,A,0.18,A,0.01,A,0.14,A,0.14,A
CF002,4,"GSLOOK",2009,2008,10,F,2.03,A,4.08,A,0.38,A,1.65,A,0.006,A,0.006,A,0.002,A,0.000,D,0.01,A,0.01,A,0.01,D*,0.00,D,,N,,N,0.002,*,0.001,*,0.49,A,0.10,A,0.74,A,0.22,A,0.02,A,0.15,A,0.21,A
CF002,4,"GSLOOK",2009,2008,11,F,12.43,A,21.12,A,4.52,A,9.12,A,0.040,A,0.033,A,0.011,A,0.008,D,0.09,A,0.07,A,0.04,D*,0.02,D,,N,,N,0.012,*,0.020,A,2.68,A,0.52,A,3.97,A,1.11,A,0.10,A,0.91,A,1.42,A
CF002,4,"GSLOOK",2009,2008,12,P,21.98,A,30.21,A,109.00,A,14.63,A,0.144,A,0.058,A,0.021,A,0.087,D,0.30,A,0.09,A,0.05,D*,0.22,D,,N,,N,0.011,*,0.024,*,4.03,A,0.80,A,5.85,A,1.41,A,0.20,A,1.49,A,2.45,A
CF002,4,"GSLOOK",2009,2009,1,F,46.43,A,61.73,A,205.68,A,30.96,A,0.284,A,0.119,A,0.044,A,0.164,D,0.57,A,0.21,A,0.12,D*,0.36,D,,N,,N,0.024,*,0.056,A,8.31,A,1.65,A,11.93,A,2.96,A,0.42,A,3.06,A,4.92,A
CF002,4,"GSLOOK",2009,2009,2,F,12.03,A,18.42,A,1.97,A,8.97,A,0.028,A,0.025,A,0.011,A,0.003,D,0.05,A,0.05,A,0.05,D*,0.00,D,,N,,N,0.008,*,0.001,*,2.39,A,0.42,A,3.46,A,0.94,A,0.10,A,0.77,A,0.93,A
CF002,4,"GSLOOK",2009,2009,3,F,20.08,A,30.46,A,3.05,A,14.72,A,0.051,A,0.046,A,0.021,A,0.005,D,0.08,A,0.08,A,0.07,D*,0.01,D,,N,,N,0.009,*,0.000,*,3.93,A,0.68,A,5.56,A,1.48,A,0.18,A,1.27,A,1.74,A
CF002,4,"GSLOOK",2009,2009,4,F,21.14,A,29.79,A,2.68,A,14.03,A,0.049,A,0.040,A,0.023,A,0.009,D,0.15,A,0.10,A,0.06,D*,0.05,D,,N,,N,0.019,*,0.011,*,3.77,A,0.75,A,5.36,A,1.51,A,0.17,A,1.30,A,1.65,A
CF002,4,"GSLOOK",2009,2009,5,F,22.41,A,31.48,A,4.77,A,14.26,A,0.052,A,0.044,A,0.015,A,0.008,D,0.17,A,0.15,A,0.11,D*,0.02,D,,N,,N,0.034,*,0.013,*,3.83,A,0.81,A,5.64,A,1.62,A,0.16,A,1.27,A,2.06,A
CF002,4,"GSLOOK",2009,2009,6,F,5.04,A,8.83,A,1.12,A,3.86,A,0.013,A,0.011,A,0.004,A,0.001,D,0.04,A,0.03,A,0.03,D*,0.01,D,,N,,N,0.001,*,0.001,*,1.03,A,0.23,A,1.55,A,0.42,A,0.04,A,0.30,A,0.43,A
CF002,4,"GSLOOK",2009,2009,7,F,2.33,A,4.62,A,0.40,A,2.02,A,0.006,A,0.006,A,0.002,A,0.001,D,0.01,A,0.01,A,0.01,D*,0.00,D,,N,,N,0.000,*,0.000,*,0.57,A,0.13,A,0.84,A,0.22,A,0.02,A,0.17,A,0.25,A
CF002,4,"GSLOOK",2009,2009,8,F,1.45,A,2.99,A,0.20,A,1.28,A,0.004,A,0.004,A,0.001,A,0.001,D,0.01,A,0.00,A,0.00,D*,0.00,D,,N,,N,0.000,*,0.000,*,0.37,A,0.09,A,0.55,A,0.14,A,0.01,A,0.11,A,0.15,A
CF002,4,"GSLOOK",2009,2009,9,F,1.19,A,2.45,A,0.13,A,1.03,A,0.003,A,0.003,A,0.001,A,0.000,D,0.01,A,0.00,A,0.00,D*,0.00,D,,N,,N,0.000,*,0.000,*,0.30,A,0.07,A,0.46,A,0.13,A,0.01,A,0.10,A,0.12,A
CF002,4,"GSLOOK",2010,2009,11,P,12.86,A,21.90,A,6.07,A,9.20,A,0.035,A,0.027,A,0.012,A,0.009,D,0.13,A,0.06,A,0.05,D*,0.07,D,,N,,N,0.012,*,0.002,*,2.77,A,0.54,A,4.05,A,0.94,A,0.11,A,1.08,A,1.65,A
CF002,4,"GSLOOK",2010,2009,12,P,14.99,E,21.60,A,75.19,A,9.97,A,0.050,A,0.036,A,0.014,A,0.013,D,0.17,A,0.12,A,0.08,D*,0.05,D,,N,,N,0.017,*,0.024,*,2.83,A,0.55,A,4.05,A,0.87,A,0.13,A,1.16,A,1.62,A
CF002,4,"GSLOOK",2010,2010,1,F,27.31,A,39.63,A,116.43,A,19.48,A,0.091,A,0.069,A,0.033,A,0.021,D,0.26,A,0.21,A,0.13,D,0.05,D,,N,,N,0.038,A,0.052,A,5.05,A,0.98,A,7.31,A,1.34,A,0.25,A,1.98,A,2.67,A
CF002,4,"GSLOOK",2010,2010,2,F,11.13,A,17.71,A,11.33,A,8.61,A,0.037,A,0.027,A,0.013,A,0.010,D,0.09,A,0.07,A,0.05,D*,0.01,D,,N,,N,0.021,*,0.003,*,2.16,A,0.42,A,3.26,A,0.60,A,0.10,A,0.85,A,0.92,A
CF002,4,"GSLOOK",2010,2010,3,F,14.08,A,21.78,A,15.93,A,10.62,A,0.043,A,0.029,A,0.011,A,0.014,D,0.09,A,0.07,A,0.06,D*,0.02,D,,N,,N,0.010,*,0.000,*,2.65,A,0.53,A,4.09,A,0.81,A,0.13,A,1.13,A,1.28,A
CF002,4,"GSLOOK",2010,2010,4,F,18.87,A,27.91,A,15.99,A,13.64,A,0.052,A,0.036,A,0.014,A,0.016,D,0.11,A,0.08,A,0.06,D*,0.02,D,,N,,N,0.024,A,0.003,*,3.29,A,0.67,A,5.15,A,1.03,A,0.16,A,1.36,A,1.55,A
CF002,4,"GSLOOK",2010,2010,5,F,15.50,A,22.57,A,11.17,A,10.90,A,0.031,A,0.016,A,0.011,A,0.014,D,0.11,A,0.07,A,0.06,D*,0.04,D,,N,,N,0.014,*,0.000,*,2.61,A,0.54,A,4.10,A,0.85,A,0.12,A,1.03,A,1.34,A
CF002,4,"GSLOOK",2010,2010,6,F,21.35,A,32.82,A,21.82,A,15.28,A,0.050,A,0.026,A,0.017,A,0.024,D,0.17,A,0.07,A,0.04,D*,0.10,D,,N,,N,0.018,*,0.000,*,3.65,A,0.79,A,6.00,A,1.20,A,0.17,A,1.38,A,1.96,A
CF002,4,"GSLOOK",2010,2010,7,F,3.29,A,6.42,A,1.07,A,2.92,A,0.006,A,0.005,A,0.003,A,0.001,D,0.01,A,0.01,A,0.01,D*,0.00,D,,N,,N,0.002,*,0.000,*,0.70,A,0.16,A,1.17,A,0.21,A,0.03,A,0.25,A,0.33,A
CF002,4,"GSLOOK",2010,2010,8,F,1.76,A,3.66,A,1.11,A,1.61,A,0.004,A,0.003,A,0.001,A,0.001,D,0.01,A,0.01,A,0.01,D*,0.00,D,,N,,N,0.000,*,0.000,*,0.43,A,0.09,A,0.64,A,0.13,A,0.01,A,0.15,A,0.17,A
CF002,4,"GSLOOK",2010,2010,9,F,2.03,A,4.27,A,1.04,A,1.81,A,0.004,A,0.003,A,0.002,A,0.002,D,0.01,A,0.01,A,0.01,D*,0.01,D,,N,,N,0.001,*,0.000,*,0.51,A,0.10,A,0.79,A,0.17,A,0.01,A,0.19,A,0.23,A
CF002,4,"GSLOOK",2011,2010,10,P,4.60,A,8.74,A,0.85,A,3.74,A,0.007,A,0.006,A,0.005,A,0.001,D,0.03,A,0.02,*,0.01,D*,0.01,D*,,N,,N,0.006,*,0.002,*,1.06,A,0.22,A,1.65,A,0.36,A,0.04,A,0.41,A,0.47,A
CF002,4,"GSLOOK",2011,2010,11,F,14.12,A,23.54,A,4.77,A,10.58,A,0.026,A,0.018,A,0.016,A,0.008,D,0.14,A,0.08,A,0.05,D*,0.06,D,,N,,N,0.023,A,0.006,*,2.97,A,0.59,A,4.46,A,0.95,A,0.12,A,1.21,A,1.49,A
CF002,4,"GSLOOK",2011,2010,12,F,40.79,A,60.54,A,28.07,A,29.01,A,0.097,A,0.055,A,0.048,A,0.042,D,0.34,Q,0.42,Q,0.35,DQ*,0.05,DQ,,N,,N,0.058,A,0.016,*,7.80,A,1.54,A,11.19,A,2.39,A,0.34,A,2.91,A,3.79,A
CF002,4,"GSLOOK",2011,2011,1,P,41.08,A,59.03,E,14.30,E,30.19,E,0.066,E,0.053,E,0.049,E,0.012,DE,0.21,E,0.16,E,0.08,DE*,0.04,DE,,N,,N,0.037,E*,0.029,E,7.68,E,1.48,E,11.09,E,2.55,E,0.33,E,2.63,E,2.79,E
CF002,4,"GSLOOK",2011,2011,2,P,8.15,A,12.11,A,1.98,A,6.13,A,0.013,A,0.011,A,0.009,A,0.002,D,0.04,A,0.03,A,0.02,D*,0.01,D,,N,,N,0.005,*,0.002,*,1.56,A,0.29,A,2.32,A,0.53,A,0.07,A,0.54,A,0.56,A
CF002,4,"GSLOOK",2011,2011,3,P,28.60,A,41.96,A,8.70,A,21.45,A,0.054,A,0.041,A,0.037,A,0.013,D,0.12,A,0.09,A,0.06,D*,0.04,D,,N,,N,0.030,*,0.000,*,5.48,A,0.99,A,7.89,A,1.78,A,0.26,A,1.87,A,2.32,A
CF002,4,"GSLOOK",2011,2011,4,F,32.74,A,46.07,A,15.42,A,23.02,A,0.056,A,0.041,A,0.036,A,0.015,D,0.16,A,0.10,A,0.07,D*,0.07,D,,N,,N,0.036,*,0.000,*,5.95,A,1.08,A,8.53,A,2.42,A,0.29,A,2.03,A,2.49,A
CF002,4,"GSLOOK",2011,2011,5,F,22.40,A,29.65,A,3.16,A,14.64,A,0.028,A,0.018,A,0.019,A,0.010,D,0.09,A,0.05,A,0.02,D*,0.04,D,,N,,N,0.025,*,0.001,*,3.75,A,0.68,A,5.45,A,1.78,A,0.18,A,1.43,A,1.65,A
CF002,4,"GSLOOK",2011,2011,6,F,14.81,A,20.18,A,2.83,A,9.83,A,0.017,A,0.012,A,0.010,A,0.006,D,0.06,A,0.04,A,0.01,D*,0.03,D,,N,,N,0.024,A,0.001,*,2.56,A,0.50,A,3.82,A,1.22,A,0.11,A,1.13,A,1.21,A
CF002,4,"GSLOOK",2011,2011,7,F,4.11,A,7.02,A,0.81,A,3.29,A,0.007,A,0.004,A,0.004,A,0.002,D,0.02,A,0.01,A,0.01,D*,0.01,D,,N,,N,0.004,*,0.000,*,0.88,A,0.19,A,1.33,A,0.41,A,0.03,A,0.29,A,0.38,A
CF002,4,"GSLOOK",2011,2011,8,F,2.19,A,4.25,A,0.39,A,1.94,A,0.004,A,0.003,A,0.002,A,0.001,D,0.01,A,0.01,A,0.00,D*,0.01,D,,N,,N,0.003,*,0.000,*,0.54,A,0.12,A,0.79,A,0.25,A,0.02,A,0.15,A,0.21,A
CF002,4,"GSLOOK",2011,2011,9,F,1.56,A,3.16,A,0.16,A,1.41,A,0.002,A,0.002,A,0.001,A,0.000,D,0.01,A,0.00,A,0.00,D*,0.00,D,,N,,N,0.002,A,0.000,*,0.40,A,0.08,A,0.58,A,0.18,A,0.01,A,0.12,A,0.17,A
CF002,4,"GSLOOK",2012,2011,10,F,2.01,A,4.01,A,0.21,A,1.75,A,0.003,A,0.002,A,0.002,A,0.001,D,0.01,A,0.01,A,0.00,D*,0.00,D,,N,,N,0.003,*,0.000,*,0.50,A,0.09,A,0.74,A,0.24,A,0.02,A,0.17,A,0.21,A
CF002,4,"GSLOOK",2012,2011,11,F,9.09,E,15.59,A,6.28,A,6.98,A,0.015,A,0.013,A,0.009,A,0.002,D,0.07,A,0.06,A,0.03,D*,0.01,D,,N,,N,0.008,*,0.019,*,1.92,A,0.36,A,2.96,A,0.93,A,0.08,A,0.73,A,1.07,A
CF002,4,"GSLOOK",2012,2011,12,P,21.63,A,31.03,A,112.32,A,14.69,A,0.090,A,0.026,A,0.017,A,0.063,D,0.27,A,0.15,A,0.10,D*,0.11,D,,N,,N,0.018,*,0.042,*,3.81,A,0.74,A,5.83,A,1.78,A,0.18,A,1.42,A,2.64,A
CF002,4,"GSLOOK",2012,2012,1,P,43.07,A,57.37,A,231.68,A,28.94,A,0.141,A,0.060,A,0.046,A,0.081,D,0.41,A,0.16,A,0.06,D*,0.25,D,,N,,N,0.054,*,0.053,A,7.49,A,1.31,A,10.78,A,3.22,A,0.38,A,2.46,A,4.43,A
CF002,4,"GSLOOK",2012,2012,2,F,17.75,A,25.95,A,2.80,A,13.15,A,0.025,A,0.022,A,0.019,A,0.003,D,0.07,A,0.04,A,0.03,D*,0.03,D,,N,,N,0.012,*,0.003,*,3.41,A,0.63,A,4.84,A,1.48,A,0.16,A,1.13,A,1.26,A
CF002,4,"GSLOOK",2012,2012,3,F,42.46,A,61.30,A,119.13,A,29.98,A,0.078,A,0.059,A,0.043,A,0.019,D,0.14,A,0.08,A,0.08,D*,0.06,D,,N,,N,0.004,*,0.001,*,7.67,A,1.41,A,11.09,A,3.28,A,0.38,A,2.66,A,3.58,A
